,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,channelId,thumbnailUrl,viewCount,videoId,type_video
29,129,129,129,MacBooks FINALLY Have Competition,UCVYamHliCI9rw1tHR1xbkfw,https://i.ytimg.com/vi/gxc5kvzoddE/mqdefault.jpg,516311,gxc5kvzoddE,normal
30,130,130,130,Let's Play: Wavelength,UCzpCc5n9hqiVC7HhPwcIKEg,https://i.ytimg.com/vi/sk1BowhRwj0/mqdefault.jpg,322680,sk1BowhRwj0,normal
31,132,132,132,Is YouTube Adding Community Notes to Videos?,UCEcrRXW3oEYfUctetZTAWLw,https://i.ytimg.com/vi/qfdivwISU9k/mqdefault.jpg,89256,qfdivwISU9k,normal
32,134,134,134,YouTube's Adblock War Just Got Way Worse...,UCtMVHI3AJD4Qk4hcbZnI9ZQ,https://i.ytimg.com/vi/9JYFMMNYz60/mqdefault.jpg,808055,9JYFMMNYz60,normal
33,137,137,137,Did Qualcomm Prank Us?,UCeeFfhMcJa1kjtfZAGskOCA,https://i.ytimg.com/vi/o9ogVYc4FjY/mqdefault.jpg,422486,o9ogVYc4FjY,normal
34,143,143,143,How Quantum Dots Solar Panels Could Change Everything,UCjtUS7-SZTi6pXjUbzGHQCg,https://i.ytimg.com/vi/81JgczyzXy8/mqdefault.jpg,289301,81JgczyzXy8,normal
35,146,146,146,I Told You This Was Going To Happen,UCJquYOG5EL82sKTfH9aMA9Q,https://i.ytimg.com/vi/zbo6SdyWGns/mqdefault.jpg,832814,zbo6SdyWGns,normal
36,147,147,147,"The ""Turbo, Turbo 6 FM/MP3 Music Player"" Speaker.",UC7Jwj9fkrf1adN4fMmTkpug,https://i.ytimg.com/vi/EI7JM05NUHo/mqdefault.jpg,278300,EI7JM05NUHo,normal
37,148,148,148,"Biggest Self-Own in Quantum Computing, Ever",UC1yNl2E66ZzKApQdRuTQ4tw,https://i.ytimg.com/vi/dpt-jt5XpKc/mqdefault.jpg,174653,dpt-jt5XpKc,normal
38,149,149,149,How Nvidia Surpassed Microsoft And Apple To Become World's Most Valuable Company,UCvJJ_dzjViJCoLf5uKUTwoA,https://i.ytimg.com/vi/ICllQ1zC0Qo/mqdefault.jpg,180676,ICllQ1zC0Qo,normal
39,161,161,161,WWDC 2024 — June 10 | Apple,UCE_M8A5yxnLfW0KghEeajjw,https://i.ytimg.com/vi/RXeOiIDNNek/mqdefault.jpg,10375513,RXeOiIDNNek,normal
40,172,172,172,"""EVGA is Gone"" | KINGPIN's Future, NVIDIA RTX 5090 Plans, & Lab Tour",UChIs72whgZI9w6d6FhwGGHA,https://i.ytimg.com/vi/3ZQyNvZy5do/mqdefault.jpg,234069,3ZQyNvZy5do,normal
41,175,175,175,AI is a Lie.,UCXuqSBlHAE6Xw-yeJA0Tunw,https://i.ytimg.com/vi/nGIpdiQrFDU/mqdefault.jpg,1403111,nGIpdiQrFDU,normal
42,179,179,179,MacBooks FINALLY Have Competition,UCVYamHliCI9rw1tHR1xbkfw,https://i.ytimg.com/vi/gxc5kvzoddE/mqdefault.jpg,516311,gxc5kvzoddE,normal
43,180,180,180,Let's Play: Wavelength,UCzpCc5n9hqiVC7HhPwcIKEg,https://i.ytimg.com/vi/sk1BowhRwj0/mqdefault.jpg,322680,sk1BowhRwj0,normal
44,182,182,182,Is YouTube Adding Community Notes to Videos?,UCEcrRXW3oEYfUctetZTAWLw,https://i.ytimg.com/vi/qfdivwISU9k/mqdefault.jpg,89256,qfdivwISU9k,normal
45,184,184,184,YouTube's Adblock War Just Got Way Worse...,UCtMVHI3AJD4Qk4hcbZnI9ZQ,https://i.ytimg.com/vi/9JYFMMNYz60/mqdefault.jpg,808055,9JYFMMNYz60,normal
46,187,187,187,Did Qualcomm Prank Us?,UCeeFfhMcJa1kjtfZAGskOCA,https://i.ytimg.com/vi/o9ogVYc4FjY/mqdefault.jpg,422486,o9ogVYc4FjY,normal
47,193,193,193,How Quantum Dots Solar Panels Could Change Everything,UCjtUS7-SZTi6pXjUbzGHQCg,https://i.ytimg.com/vi/81JgczyzXy8/mqdefault.jpg,289301,81JgczyzXy8,normal
48,196,196,196,I Told You This Was Going To Happen,UCJquYOG5EL82sKTfH9aMA9Q,https://i.ytimg.com/vi/zbo6SdyWGns/mqdefault.jpg,832814,zbo6SdyWGns,normal
49,197,197,197,"The ""Turbo, Turbo 6 FM/MP3 Music Player"" Speaker.",UC7Jwj9fkrf1adN4fMmTkpug,https://i.ytimg.com/vi/EI7JM05NUHo/mqdefault.jpg,278300,EI7JM05NUHo,normal
50,198,198,198,"Biggest Self-Own in Quantum Computing, Ever",UC1yNl2E66ZzKApQdRuTQ4tw,https://i.ytimg.com/vi/dpt-jt5XpKc/mqdefault.jpg,174653,dpt-jt5XpKc,normal
51,199,199,199,How Nvidia Surpassed Microsoft And Apple To Become World's Most Valuable Company,UCvJJ_dzjViJCoLf5uKUTwoA,https://i.ytimg.com/vi/ICllQ1zC0Qo/mqdefault.jpg,180676,ICllQ1zC0Qo,normal
