Unnamed: 0,title,channelId,thumbnailUrl,videoId,type_video,viewCount,subscriberCount,videoCount,keywords,views/subscriber
22,2020 MacBook Air Impressions: A Clean Refresh!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/koPg_DZUfOc/mqdefault.jpg,koPg_DZUfOc,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
23,Windows 11 Reactions: It Runs Android Apps! (Kinda),UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/VaSstf9VJGQ/mqdefault.jpg,VaSstf9VJGQ,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
24,The Problem with Phone Cases!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/Btr8uOU0BkI/mqdefault.jpg,Btr8uOU0BkI,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
25,Audio Technica ATH-M50X Review!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/y5DyEYuvF3o/mqdefault.jpg,y5DyEYuvF3o,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
26,Apple Watch Review!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/dPL1-8ypnEs/mqdefault.jpg,dPL1-8ypnEs,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
27,OnePlus 10T Impressions: Somebody That You Used to Know,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/4SHlY9AoXzc/mqdefault.jpg,4SHlY9AoXzc,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
28,Galaxy S22 Ultra Impressions: It&#39;s a Note!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/ldadR6XqiWE/mqdefault.jpg,ldadR6XqiWE,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
29,Nest Cam IQ: Security Camera + 4k Sensor?,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/ygMHYJEtk2c/mqdefault.jpg,ygMHYJEtk2c,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
30,This Smartphone is Built Different...,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/gkmzDwgvqQM/mqdefault.jpg,gkmzDwgvqQM,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
31,Sony WH-1000XM4 Review: The Final Form!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/bInJjmH31Hk/mqdefault.jpg,bInJjmH31Hk,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
32,Here&#39;s the Thing about the M3 Macbook Air...,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/HN-WH7C4K0Q/mqdefault.jpg,HN-WH7C4K0Q,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
33,AirPods Pro Review: Imperfectly Perfect!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/cG8PXdTlDag/mqdefault.jpg,cG8PXdTlDag,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
