,channelId,viewCount_x,subscriberCount,videoCount,keywords,title,thumbnailUrl,viewCount_y,videoId,tags,categoryId
0,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,GTX 10-Series for Laptops - 5 Things To Know,https://i.ytimg.com/vi/rH7SoJUpnNA/mqdefault.jpg,194681,rH7SoJUpnNA,"['Dave2D', 'Review', 'G752VS', 'GTX', '1080', '1070', '1060', 'Best Gaming Laptop', 'Benchmarks', 'Nvidia', 'Pascal', 'Nvidia mobile GPUs', 'laptop gaming', 'GTX 1070 Laptop', 'GTX 1080 Laptop', 'GTX 1060 Laptop', 'versus']",28
1,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,Razer Blade 14 (2023) - Something’s Weird….,https://i.ytimg.com/vi/DEEc65x4SMs/mqdefault.jpg,640518,DEEc65x4SMs,"['Dave2D', 'Review', 'Razer blade', 'versus', 'g14']",28
2,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,M3 MacBook Pro Review - Space Black,https://i.ytimg.com/vi/qie7cfjnLAY/mqdefault.jpg,698374,qie7cfjnLAY,"['Dave2D', 'Review', 'm3', 'apple', 'm3 max', 'space black']",28
3,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,M2 Mac Mini Review - $600,https://i.ytimg.com/vi/aQCpnnxyvcY/mqdefault.jpg,646545,aQCpnnxyvcY,"['Dave2D', 'Review', 'Mac Mini', 'M2', 'M2 Pro Mac Mini', 'Cheapest Mac', 'best mac', 'which mac mini', 'versus mac', 'studio', 'versus', 'macbook']",28
4,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,15” M2 MacBook Air Review - FINALLY!,https://i.ytimg.com/vi/RIphIqHEdxY/mqdefault.jpg,821812,RIphIqHEdxY,"['Dave2D', 'Review', 'm2 macbook', 'versus', 'apple', 'best laptop', 'best macbook', '15 inch', '15']",28
5,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,2022 iPad Air 5 (M1) Review,https://i.ytimg.com/vi/pmCQtrKBALU/mqdefault.jpg,1001707,pmCQtrKBALU,"['Dave2D', 'Review', 'ipad pro', 'ipad air', 'apple', 'ipad m1', '2022 ipad', 'which ipad', 'best ipad']",28
6,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,Framework 16 - Performance vs Price...,https://i.ytimg.com/vi/Zy5MWFrb0Y8/mqdefault.jpg,642246,Zy5MWFrb0Y8,"['Dave2D', 'Framework', '16', 'versus', '4060', '3070', '3060', '4070', 'RX 7700s', 'AMD', 'Radeon']",28
7,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,Apple iPad Mini 2021 Review,https://i.ytimg.com/vi/7pzlQ69QslQ/mqdefault.jpg,984031,7pzlQ69QslQ,"['Dave2D', 'Review', 'ipad mini', 'ipad mini 6', 'ipad mini 2021', 'apple ipad', 'apple', 'ipad']",28
8,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,The NEW Razer Blade 16 + 18!,https://i.ytimg.com/vi/HAxRDYJBin8/mqdefault.jpg,737539,HAxRDYJBin8,"['Dave2D', 'Review']",28
9,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,The NEW Surface Pro + Laptop - First Impressions,https://i.ytimg.com/vi/2uvFqjsbemY/mqdefault.jpg,1003491,2uvFqjsbemY,"['Dave2D', 'Microsoft Surface', 'Laptop', 'Pro', 'AI', '2024', 'New', 'Versus', '13.8', '15', 'Asus Vivobook S15', 'Lenovo Yoga Slim 7X']",28
10,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,Alienware X14 Review - The Mini Laptop,https://i.ytimg.com/vi/rHA87rBVkk8/mqdefault.jpg,1032621,rHA87rBVkk8,"['Dave2D', 'Review', 'alienware 14', 'best gaming laptop', 'alienware x14', 'alienwarae 14x', 'small gaming laptop', 'smallest gaming laptop']",28
11,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,"""the best laptop mouse"" - Razer Orochi V2",https://i.ytimg.com/vi/8Uv-ffvBXOg/mqdefault.jpg,794025,8Uv-ffvBXOg,"['Dave2d', 'dave lee', 'razer orochi', 'razer orochi v2', 'razer orochi mouse', 'best laptop mouse', 'razer orochi wireless', 'best wireless mouse', 'orochi mouse', 'orochi mouse v2', 'razer laptop mouse', 'razer orochi vs g305', 'orochi vs g305', 'wireless gaming mouse', 'best wireless gaming mouse', 'review']",28
12,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,Samsung Galaxy Tab S8 Ultra Review!,https://i.ytimg.com/vi/JexvBG9J6qA/mqdefault.jpg,1688597,JexvBG9J6qA,"['Dave2D', 'Review', 'Samsung', 'Galaxy']",28
13,UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple,Keyboards Should Have Been Like This,https://i.ytimg.com/vi/DVfB_0s470I/mqdefault.jpg,365468,DVfB_0s470I,"['Dave2D', 'Review', 'best keyboard', 'ortho keyboard', 'ortho']",28
