title,channelId,thumbnailUrl,videoId
Talking Tech with Kobe Bryant!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/dP5Au3tH448/mqdefault.jpg,dP5Au3tH448
Google Pixel 7A Review: New Price!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/LRJPk9BmJY4/mqdefault.jpg,LRJPk9BmJY4
The Galaxy S23 Ultra is Better Than You Think!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/zhoTX0RRXPQ/mqdefault.jpg,zhoTX0RRXPQ
The 2020 13&quot; MacBook Pro Impressions: Wait a Minute!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/Kl0E8p2IBmw/mqdefault.jpg,Kl0E8p2IBmw
Some Quick Advice from Barack Obama!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/I49VNQ6lmKk/mqdefault.jpg,I49VNQ6lmKk
AirPods 3 Review: Easy Mode!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/LcI6F_GPwfE/mqdefault.jpg,LcI6F_GPwfE
Bose QC35: Best Noise Cancelling Headphones?,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/DAxj9CjczXw/mqdefault.jpg,DAxj9CjczXw
M4 iPad Pro Impressions: Well This is Awkward,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/-T0MGehwWvE/mqdefault.jpg,-T0MGehwWvE
I Gave the Pixel Another Chance...,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/MiTG1ride7s/mqdefault.jpg,MiTG1ride7s
Google Pixel 7/Pro Review: Hard Problems? Software Answers!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/NE5H5intsck/mqdefault.jpg,NE5H5intsck
5 Weird iPad Pro (M4) Decisions,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/PHcDrXeyguM/mqdefault.jpg,PHcDrXeyguM
2015 Macbook Review!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/TA8JprZlDYA/mqdefault.jpg,TA8JprZlDYA
Google Pixel 4a Review: Simple and Clean!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/dlHnleQU9tQ/mqdefault.jpg,dlHnleQU9tQ
iPhone SE (2020) Review: It All Adds Up!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/aXfiyuUziY0/mqdefault.jpg,aXfiyuUziY0
The Rivian R1S Is... The Best SUV Ever?,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/wR-0knMVSGw/mqdefault.jpg,wR-0knMVSGw
Why I bought the iPad 10 (and NOT the M2 iPad Pro),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/48WukP7dR9U/mqdefault.jpg,48WukP7dR9U
I REFUSE to review the M2 iPad Pro!! (hear me out…),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/9UMXWGk_jRE/mqdefault.jpg,9UMXWGk_jRE
NEW M2 iPad Pro in 3...2...1!!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/hTFosa7CfeU/mqdefault.jpg,hTFosa7CfeU
M2 iPad Pro - should you WAIT or buy the M1 iPad Pro NOW!?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/wMpSIANRyUM/mqdefault.jpg,wMpSIANRyUM
